correct value,prediction
0.0,0.33269784
0.0,0.17512023
0.0,0.31755012
1.0,1.0792649
0.0,0.21649367
0.0,0.3118856
1.0,0.54019535
1.0,0.35593817
1.0,1.1509182
1.0,0.6488051
0.0,0.205026
1.0,1.0157692
1.0,1.2316799
1.0,0.3836084
1.0,0.415747
1.0,0.47872096
1.0,1.0178583
0.0,0.26308578
1.0,0.3504319
1.0,2.0966554
1.0,0.56492054
1.0,0.98472196
1.0,0.36901248
0.0,0.2702105
1.0,0.5316198
1.0,1.3833728
1.0,1.5903502
1.0,1.1337986
0.0,0.2816797
0.0,0.17211667
1.0,1.8030465
0.0,0.24760643
1.0,0.8171081
1.0,0.3687948
1.0,1.3996568
1.0,0.5243451
1.0,0.6297552
1.0,0.95038
1.0,0.80347043
1.0,0.35401005
0.0,0.33288434
1.0,0.79018956
1.0,0.88161975
0.0,0.31339338
1.0,0.36997497
0.0,0.16021156
1.0,0.41720724
1.0,0.47451538
1.0,0.78237414
1.0,1.161125
1.0,0.9014167
1.0,0.41381133
0.0,0.11314076
1.0,1.5737746
1.0,0.42586035
1.0,0.8901618
0.0,0.29462808
1.0,1.3846283
1.0,0.43016315
1.0,1.2415626
1.0,1.3024142
1.0,1.3119304
0.0,0.3018258
1.0,0.51099396
1.0,0.43242323
0.0,0.17902952
1.0,0.9674699
1.0,0.38595706
1.0,0.9329893
0.0,0.2955211
1.0,0.5673748
0.0,0.27963617
0.0,0.16887394
0.0,0.19173214
0.0,0.3102114
1.0,0.9765565
1.0,0.45587194
1.0,0.3365656
0.0,0.31192696
0.0,0.1665541
1.0,0.3947242
1.0,0.77934283
1.0,1.515821
1.0,0.4151144
0.0,0.22256124
0.0,0.33161253
1.0,1.7569759
1.0,0.46168053
0.0,0.20102426
0.0,0.29705086
0.0,0.12733105
1.0,1.1044607
1.0,0.8145835
1.0,0.45148128
1.0,0.31946012
1.0,0.41671425
1.0,0.9401848
0.0,0.13280684
1.0,0.896887
1.0,0.38576025
1.0,0.43343294
1.0,1.5976894
0.0,0.30966538
1.0,0.83935606
0.0,0.183617
1.0,0.7070494
0.0,0.33725774
0.0,0.19050586
0.0,0.28112164
0.0,0.28601992
1.0,1.4441142
0.0,0.24966908
1.0,0.899684
